Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4
Revenue,10625.0,10625.0,10625.0,10625.0,55499.14621003878,75617.33266983968,94438.10976889188,120293.71478643434,148652.02634138273,165261.65235347752,181046.2976106244,192080.36770801066,202478.68265190077,203096.10364859516,203959.95377623368,204468.71897325164,220191.91811980534,240606.75939000875,258597.3383331781,276659.21642894
Revenue Defense,6000.0,6000.0,6000.0,6000.0,6000.0,5516.4375,5045.249999999999,4574.004079363396,25991.94382426003,39486.72410966521,51933.576249234175,64212.96464075543,76208.4262477419,75115.3470934278,74339.23099127531,73556.25996452224,72753.88421386073,77213.12567096128,81491.29574559595,85601.10451903593
Revenue Nuclear,4000.0,3999.9999999999995,4000.0,4000.0,3999.9999999999995,3937.5,3874.9999999999995,3812.4999999999995,4598.312381393191,3949.280861791068,4052.8126971403144,3877.1497365348105,3588.2450660768777,4220.695517914391,4601.538230776842,4971.124435169493,5318.0055838162625,5754.934022101477,6184.319489286193,6619.8165618400435
Revenue Semiconductors,625.0,625.0,625.0,625.0,625.0,625.0,625.0,6821.875,13018.75,18561.284430562646,23509.23448158189,24231.437917906387,24618.08963658249,25825.184947574577,26840.85256356434,28029.995407777835,29025.665431991754,29361.822360949416,29448.57386136887,29649.651455229567
Revenue Aviation,0.0,0.0,0.0,0.0,44399.99999999999,63800.0,83200.0,102600.0,102600.0,100676.25,98752.5,96828.75,94905.0,94263.75,93622.5,92981.25,107361.62660458156,121052.51941162201,133887.23952781642,146654.96013480306
Revenue Silicon Carbide Fiber,10000.0,10000.0,10000.0,10000.0,10023.068426603304,9514.86539182401,9008.25284180349,8527.321979952107,8238.36961028752,8360.02429424001,8532.55283100512,8630.209443569234,8710.29504500639,9321.951522253,9982.275500116592,10638.818527516138,11236.542060455477,11692.188415231387,12138.850173336654,12614.194499509322
Revenue Silicon Carbide Powder,625.0,625.0,625.0,625.0,1076.0777834354851,2302.467278015674,2229.8569270883936,9166.392806482238,15313.656731095205,20969.440559237508,26117.494779619272,26957.970764441437,27548.387606894386,29244.15212634217,30548.29880225474,32237.70217494873,33529.73171811083,33824.114240163,33860.09081880124,34001.84531501085
Revenue Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,35255.9375,47643.75,59663.43749999999,71315.0,70266.25,69217.5,68168.75,67120.0,73146.85955150439,77422.76570349025,82142.92141285779
Revenue UHT,0.0,0.0,0.0,0.0,44399.99999999999,63800.0,83200.0,102600.0,102600.0,100676.25,98752.5,96828.75,94905.0,94263.75,94211.87947386235,93423.44827078679,108305.64434123904,121943.59718310997,135175.63163754996,147900.25520156205
Revenue Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
