Output Stocks,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2026Q4,2027Q1,2027Q2,2027Q3,2027Q4,2028Q1,2028Q2,2028Q3,2028Q4,2029Q1,2029Q2,2029Q3,2029Q4,2030Q1,2030Q2,2030Q3,2030Q4,2031Q1,2031Q2,2031Q3,2031Q4
Active Projects Nuclear,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active Projects Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Active Projects Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchor Clients,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,8.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Anchor Clients Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Anchor Clients Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Anchor Clients Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Anchor Clients Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Other Leads,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,6.5,7.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0
Other Leads Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Leads Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Leads Semiconductors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Leads Aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Clients,0.0,0.0,3.0,9.0,12.0,18.0,21.0,27.0,30.0,36.0,39.0,45.0,49.0,55.0,59.0,63.0,65.0,69.0,71.0,75.0,77.0,81.0,83.0,87.0,92.0,96.0,101.0,103.0
Other Clients Silicon Carbide Fiber,0.0,0.0,1.0,3.0,4.0,6.0,7.0,9.0,10.0,12.0,13.0,15.0,16.0,18.0,19.0,21.0,22.0,24.0,25.0,27.0,28.0,30.0,31.0,33.0,34.0,36.0,37.0,37.0
Other Clients Silicon Carbide Powder,0.0,0.0,2.0,6.0,8.0,12.0,14.0,18.0,20.0,24.0,26.0,30.0,32.0,36.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
Other Clients Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,8.0,10.0,10.0,12.0,12.0,14.0
Other Clients UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0
Other Clients Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
Other Clients B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
Other Clients WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
Order Basket,0.0,0.0,0.0,13.005199999999999,39.000312,52.00000831999999,78.00000024959999,91.000000005824,317.0000000001498,660.0000000000033,1101.0,1907.0,2198.16,3266.72320032,3431.8576640064,4106.9748172802565,4413.094393625605,4709.716201498112,4992.870523960075,5174.667934375276,5288.301293061514,5392.887318922707,5510.4650653011595,5619.074366607183,5740.755853939327,5859.550971978113,5985.501990457677,6108.652030248014
Order Basket Silicon Carbide Fiber,0.0,0.0,0.0,3.0012,9.000072,12.000001919999999,18.000000057599998,21.000000001344,227.00000000003456,410.00000000000074,608.5,1097.0,1169.6599999999999,1634.6032,1691.835264,1851.64196928,1893.5348086656002,1933.145504838912,1976.4884149356903,2017.5781832344042,2062.429746899092,2105.0583418370743,2151.479508673816,2195.709098847292,2243.763280824238,2289.6585464407226,2339.4117173695377,2387.039951716928
Order Basket Silicon Carbide Powder,0.0,0.0,0.0,10.004,30.00024,40.0000064,60.000000192,70.00000000448,90.00000000011521,100.00000000000256,320.00000000000006,360.0,550.0,768.0,826.16,1014.4832000000001,1230.972864,1277.79232128,1464.9481677056,1490.447131059712,1516.4560736809062,1542.9851951545245,1570.0448990576149,1597.6457970387673,1625.7987129795426,1654.5146872391335,1683.8049809839163,1713.6810806035946
Order Basket Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,172.5,450.0,478.5,762.12,796.8624,936.849648,965.5867209600001,984.6983753792001,1014.192341318784,1034.0761880811597,1064.3577118415158,1085.0448660783077,1116.145763399873,1137.6686786678706,1169.622052241228,1192.0144932860526,1224.8547831517737,1248.1518788148092
Order Basket UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.00000032,117.00000000639999,304.000000000256,323.0000000000051,514.0800000000002,537.2416000000001,632.566432,645.05776064,659.7989158528001,672.7948941698561,688.0507920532532,701.5718078943182,717.3632440522045,731.4305089332487,747.7791191119137
Order Basket Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,4.000000000256
Order Basket B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,4.000000000256
Order Basket WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064,4.000000000256
Order Delivery,0.0,0.0,0.0,0.0,11.006499999999999,30.920240000000003,41.0356314,58.32875,61.530324447608685,68.97723848376926,71.60963334603359,76.11110080097747,77.79844137207695,86.98679877162529,89.90688196405199,93.92728219998551,97.13860696954187,100.61984153763593,104.59362421150703,108.6739757887041,112.30859124152298,115.95163376454705,119.57197060734671,123.14109375276541,126.30751410984004,129.47606070663818,138.28444795932353,138.28331895695638
Order Delivery Silicon Carbide Fiber,0.0,0.0,0.0,0.0,1.0025,0.92,1.035625,1.15125,1.1765744476086804,1.2522384837692486,1.3652152426023358,1.4632874892894991,1.5761799424688243,1.6843550458028045,1.794162872486353,1.8498519392518558,1.8483285562123093,1.8495153512649594,1.8519150994761142,1.9105795838351722,2.0245731471004347,2.141562129845129,2.250920212876831,2.3101462401686805,2.3085679408801276,2.309813806272322,2.308305325014356,2.309499357167837
Order Delivery Silicon Carbide Powder,0.0,0.0,0.0,0.0,10.004,30.00024,40.0000064,57.1775,60.353750000000005,63.53,66.04941810343125,70.45281331168796,71.67726142960812,75.27744372582248,77.63541138316853,81.30713224734463,83.65227402123183,86.23853918968261,89.35453249596561,92.5243583351491,95.694287411354,98.86431880529089,102.03437595024336,105.20398547873913,108.37369447517214,111.54350197509854,114.355,114.35500000000002
Order Delivery Silicon Nitride Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.195,4.195,4.195,4.545,4.895,5.245,5.595,5.595,5.651819879614177,5.654195591296792,5.662091968240048,6.013468771616835,6.369994882421774,6.711561199469694,7.052328267602776,7.051226263212764,7.049176073267644,7.048147439801433,7.046260472656038
Order Delivery UHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,5.232307708397107,5.1752980133890265,6.043004392097732,6.8799671170741865,7.732981024768514,8.576945901479776,8.576261911451715,8.575757946989253,8.575113244756837,8.574633766254824,8.574025430575004,8.573568851999676,8.572994234507734,8.572559107932495
Order Delivery Boron_fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064
Order Delivery B4C_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064
Order Delivery WC_Fiber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00000032,2.0000000064
